IdxCd,IdxNm,TrdDt,OpPr,HiPr,LoPr,ClPr
399001,深证成指,2011-04-20,12779.02,12849.65,12720.52,12753.85
399001,深证成指,2011-04-21,12795.79,12864.72,12760.74,12798.75
399001,深证成指,2011-04-22,12796.33,12819.96,12687.62,12708.42
399001,深证成指,2011-04-25,12664.45,12664.45,12487.53,12508.01
399001,深证成指,2011-04-26,12486.82,12548.17,12361.86,12448.48
399001,深证成指,2011-04-27,12502.96,12573.30,12280.08,12358.88
399001,深证成指,2011-04-28,12398.68,12447.75,12148.17,12149.25
399001,深证成指,2011-04-29,12148.93,12312.99,12138.85,12312.99
399001,深证成指,2011-05-03,12314.69,12423.46,12199.58,12423.46
399001,深证成指,2011-05-04,12365.24,12365.24,12014.42,12070.41
399001,深证成指,2011-05-05,12017.28,12133.14,12005.44,12085.99
399001,深证成指,2011-05-06,11958.04,12150.24,11896.98,12067.61
399001,深证成指,2011-05-09,12074.14,12214.18,12074.14,12125.01
399001,深证成指,2011-05-10,12146.33,12216.94,12102.79,12216.94
399001,深证成指,2011-05-11,12229.31,12282.88,12117.67,12202.62
399001,深证成指,2011-05-12,12114.45,12249.34,12072.21,12072.21
399001,深证成指,2011-05-13,12092.16,12164.13,11958.58,12156.60
399001,深证成指,2011-05-16,12110.97,12215.97,12046.54,12051.24
399001,深证成指,2011-05-17,12031.83,12212.15,11983.88,12128.50
399001,深证成指,2011-05-18,12100.89,12262.47,12091.58,12230.69
399001,深证成指,2011-05-19,12270.25,12341.93,12153.41,12158.11
399001,深证成指,2011-05-20,12167.80,12221.81,12130.15,12161.03
399001,深证成指,2011-05-23,12148.59,12148.59,11742.19,11742.19
399001,深证成指,2011-05-24,11703.64,11768.78,11640.22,11749.92
399001,深证成指,2011-05-25,11716.15,11795.73,11600.21,11615.42
399001,深证成指,2011-05-26,11695.49,11752.73,11530.70,11530.70
399001,深证成指,2011-05-27,11537.03,11645.98,11483.56,11492.71
399001,深证成指,2011-05-30,11456.31,11595.14,11405.06,11478.21
399001,深证成指,2011-05-31,11485.75,11665.14,11420.94,11665.14
399001,深证成指,2011-06-01,11648.86,11719.64,11593.83,11699.83
399001,深证成指,2011-06-02,11566.43,11613.50,11366.12,11506.52
399001,深证成指,2011-06-03,11492.33,11690.09,11487.30,11642.40
399001,深证成指,2011-06-07,11614.00,11756.90,11599.31,11741.26
399001,深证成指,2011-06-08,11726.33,11787.12,11581.64,11761.10
399001,深证成指,2011-06-09,11725.21,11735.21,11508.39,11513.20
399001,深证成指,2011-06-10,11508.58,11596.58,11454.04,11593.38
399001,深证成指,2011-06-13,11518.06,11558.66,11427.15,11521.98
399001,深证成指,2011-06-14,11501.22,11765.12,11495.11,11732.04
399001,深证成指,2011-06-15,11703.19,11794.54,11614.38,11615.97
399001,深证成指,2011-06-16,11516.65,11551.32,11417.58,11435.99
399001,深证成指,2011-06-17,11451.76,11567.00,11409.16,11409.16
399001,深证成指,2011-06-20,11408.36,11446.76,11288.62,11328.67
399001,深证成指,2011-06-21,11360.93,11514.25,11360.93,11509.98
399001,深证成指,2011-06-22,11524.63,11598.75,11484.73,11543.65
399001,深证成指,2011-06-23,11511.91,11817.22,11474.98,11775.32
399001,深证成指,2011-06-24,11749.93,12092.23,11732.21,11996.08
399001,深证成指,2011-06-27,12005.06,12106.65,11947.49,12026.29
